Entry	Entry Name	Protein names	Gene Names	Organism	Organism (ID)	Length	Reviewed	Annotation	AlphaFoldDB	Taxonomic lineage	subphylum	class	order	family	genus	domain	group	anchor
A0A091TSY3	A0A091TSY3_PHORB	RecQ-like DNA helicase BLM (EC 5.6.2.4) (DNA 3'-5' helicase BLM)	N337_07840	Phoenicopterus ruber ruber	9218	1179	unreviewed	3.0	A0A091TSY3;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Archelosauria (clade), Archosauria (clade), Dinosauria (clade), Saurischia (clade), Theropoda (clade), Coelurosauria (clade), Aves (class), Neognathae (infraclass), Neoaves (clade), Mirandornithes (clade), Phoenicopteriformes (order), Phoenicopteridae (family), Phoenicopterus (genus), Phoenicopterus ruber (species)	Craniata	Aves	Phoenicopteriformes	Phoenicopteridae	Phoenicopterus	euk	euk	
T1GT72	T1GT72_MEGSC	DNA 3'-5' helicase (EC 5.6.2.4)		Megaselia scalaris (Humpbacked fly) (Phora scalaris)	36166	1342	unreviewed	3.0		cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Diptera (order), Brachycera (suborder), Muscomorpha (infraorder), Eremoneura (clade), Cyclorrhapha (clade), Aschiza (no rank), Platypezoidea (superfamily), Phoridae (family), Metopininae (subfamily), Megaseliini (tribe), Megaselia (genus)	Hexapoda	Insecta	Diptera	Phoridae	Megaselia	euk	euk	
A0A022QCX5	A0A022QCX5_ERYGU	DNA 3'-5' helicase (EC 5.6.2.4)	MIMGU_mgv1a000354mg	Erythranthe guttata (Yellow monkey flower) (Mimulus guttatus)	4155	1222	unreviewed	3.0	A0A022QCX5;	cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), lamiids (clade), Lamiales (order), Phrymaceae (family), Erythranthe (genus)	Streptophytina	Magnoliopsida	Lamiales	Phrymaceae	Erythranthe	euk	euk	
A0ABQ7SS51	A0ABQ7SS51_PHRPL	RecQ-like DNA helicase BLM (EC 5.6.2.4) (DNA 3'-5' helicase BLM)	JD844_014787	Phrynosoma platyrhinos (Desert horned lizard)	52577	1432	unreviewed	3.0		cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Lepidosauria (class), Squamata (order), Bifurcata (clade), Unidentata (clade), Episquamata (clade), Toxicofera (clade), Iguania (suborder), Phrynosomatidae (family), Phrynosomatinae (subfamily), Phrynosoma (genus)	Craniata	Lepidosauria	Squamata	Phrynosomatidae	Phrynosoma	euk	euk	
A0A167PY74	A0A167PY74_PHYB8	ATP-dependent DNA helicase (EC 5.6.2.4)	PHYBLDRAFT_130908	Phycomyces blakesleeanus (strain ATCC 8743b / DSM 1359 / FGSC 10004 / NBRC 33097 / NRRL 1555)	763407	632	unreviewed	3.0	A0A167PY74;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Fungi incertae sedis (no rank), Mucoromycota (phylum), Mucoromycotina (subphylum), Mucoromycetes (class), Mucorales (order), Phycomycetaceae (family), Phycomyces (genus), Phycomyces blakesleeanus (species)	Mucoromycotina	Mucoromycetes	Mucorales	Phycomycetaceae	Phycomyces	euk	euk	
A0AAD9I7N8	A0AAD9I7N8_9PEZI	Multifunctional fusion protein [Includes: ATP-dependent DNA helicase (EC 5.6.2.4); Glutathione reductase (EC 1.8.1.7)]	P8C59_006913	Phyllachora maydis	1825666	894	unreviewed	4.0	A0AAD9I7N8;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), sordariomyceta (clade), Sordariomycetes (class), Sordariomycetidae (subclass), Phyllachorales (order), Phyllachoraceae (family), Phyllachora (genus)	Pezizomycotina	Sordariomycetes	Phyllachorales	Phyllachoraceae	Phyllachora	euk	euk	
A0A7L2MQM0	A0A7L2MQM0_9PASS	ATP-dependent DNA helicase Q5 (EC 5.6.2.4) (DNA 3'-5' helicase RecQ5) (DNA helicase, RecQ-like type 5) (RecQ protein-like 5)	Recql5 RHASIB_R08767	Rhadina sibilatrix	2585818	1003	unreviewed	4.0	A0A7L2MQM0;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Archelosauria (clade), Archosauria (clade), Dinosauria (clade), Saurischia (clade), Theropoda (clade), Coelurosauria (clade), Aves (class), Neognathae (infraclass), Neoaves (clade), Telluraves (clade), Australaves (clade), Passeriformes (order), Sylvioidea (superfamily), Phylloscopidae (family), Rhadina (genus)	Craniata	Aves	Passeriformes	Phylloscopidae	Rhadina	euk	euk	
A0ABR1KU71	A0ABR1KU71_9PEZI	RecQ-like DNA helicase BLM (EC 5.6.2.4)	IWZ03DRAFT_434967	Phyllosticta citriasiana	595635	1757	unreviewed	3.0		cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), dothideomyceta (clade), Dothideomycetes (class), Dothideomycetes incertae sedis (no rank), Botryosphaeriales (order), Phyllostictaceae (family), Phyllosticta (genus)	Pezizomycotina	Dothideomycetes	Botryosphaeriales	Phyllostictaceae	Phyllosticta	euk	euk	
A0A6J2M7Y5	A0A6J2M7Y5_9CHIR	ATP-dependent DNA helicase (EC 5.6.2.4)	RECQL5	Phyllostomus discolor (pale spear-nosed bat)	89673	980	unreviewed	3.0	A0A6J2M7Y5;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Laurasiatheria (superorder), Chiroptera (order), Yangochiroptera (suborder), Phyllostomidae (family), Phyllostominae (subfamily), Phyllostomus (genus)	Craniata	Mammalia	Chiroptera	Phyllostomidae	Phyllostomus	euk	euk	
A0AA39MY53	A0AA39MY53_9AGAR	ATP-dependent DNA helicase (EC 5.6.2.4)	EV421DRAFT_1779284	Armillaria borealis	47425	973	unreviewed	3.0	A0AA39MY53;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetidae (subclass), Agaricales (order), Marasmiineae (suborder), Physalacriaceae (family), Armillaria (genus)	Agaricomycotina	Agaricomycetes	Agaricales	Physalacriaceae	Armillaria	euk	euk	
A0A2Y9EUT6	A0A2Y9EUT6_PHYMC	RecQ-like DNA helicase BLM (EC 5.6.2.4) (DNA 3'-5' helicase BLM)	BLM	Physeter macrocephalus (Sperm whale) (Physeter catodon)	9755	1431	unreviewed	5.0		cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Mammalia (class), Theria (clade), Eutheria (clade), Boreoeutheria (clade), Laurasiatheria (superorder), Artiodactyla (order), Whippomorpha (suborder), Cetacea (infraorder), Odontoceti (parvorder), Physeteridae (family), Physeter (genus)	Craniata	Mammalia	Artiodactyla	Physeteridae	Physeter	euk	euk	
A0ABQ7S811	A0ABQ7S811_9ACAR	ATP-dependent DNA helicase (EC 5.6.2.4)	Recql GZH46_01922	Fragariocoptes setiger	1670756	611	unreviewed	3.0		cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Chelicerata (subphylum), Arachnida (class), Acari (subclass), Acariformes (superorder), Trombidiformes (order), Prostigmata (suborder), Eupodina (clade), Eriophyoidea (superfamily), Phytoptidae (family), Fragariocoptes (genus)	Chelicerata	Arachnida	Trombidiformes	Phytoptidae	Fragariocoptes	euk	euk	
A0AAJ6QPE4	A0AAJ6QPE4_9ACAR	ATP-dependent DNA helicase (EC 5.6.2.4)	LOC100899635	Galendromus occidentalis (western predatory mite)	34638	876	unreviewed	3.0	A0AAJ6QPE4;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Chelicerata (subphylum), Arachnida (class), Acari (subclass), Parasitiformes (superorder), Mesostigmata (order), Monogynaspida (suborder), Gamasina (infraorder), Phytoseioidea (superfamily), Phytoseiidae (family), Typhlodrominae (subfamily), Galendromus (genus)	Chelicerata	Arachnida	Mesostigmata	Phytoseiidae	Galendromus	euk	euk	
A0A7L3ESM6	A0A7L3ESM6_9PASS	ATP-dependent DNA helicase Q5 (EC 5.6.2.4) (DNA 3'-5' helicase RecQ5) (DNA helicase, RecQ-like type 5) (RecQ protein-like 5)	Recql5 CHAFRE_R01582	Chaetops frenatus (Rufous rock-jumper)	221966	1002	unreviewed	4.0	A0A7L3ESM6;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Archelosauria (clade), Archosauria (clade), Dinosauria (clade), Saurischia (clade), Theropoda (clade), Coelurosauria (clade), Aves (class), Neognathae (infraclass), Neoaves (clade), Telluraves (clade), Australaves (clade), Passeriformes (order), Picathartidae (family), Chaetops (genus)	Craniata	Aves	Passeriformes	Picathartidae	Chaetops	euk	euk	
W1QC66	W1QC66_OGAPD	DNA 3'-5' helicase (EC 5.6.2.4)	HPODL_04257	Ogataea parapolymorpha (strain ATCC 26012 / BCRC 20466 / JCM 22074 / NRRL Y-7560 / DL-1) (Yeast) (Hansenula polymorpha)	871575	1277	unreviewed	4.0	W1QC66;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Saccharomycotina (subphylum), Pichiomycetes (class), Pichiales (order), Pichiaceae (family), Ogataea (genus), Ogataea parapolymorpha (species)	Saccharomycotina	Pichiomycetes	Pichiales	Pichiaceae	Ogataea	euk	euk	
A0A093GEU7	A0A093GEU7_DRYPU	ATP-dependent DNA helicase Q5 (EC 5.6.2.4) (DNA 3'-5' helicase RecQ5) (DNA helicase, RecQ-like type 5) (RecQ protein-like 5)	N307_13151	Dryobates pubescens (Downy woodpecker) (Picoides pubescens)	118200	1007	unreviewed	4.0	A0A093GEU7;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Archelosauria (clade), Archosauria (clade), Dinosauria (clade), Saurischia (clade), Theropoda (clade), Coelurosauria (clade), Aves (class), Neognathae (infraclass), Neoaves (clade), Telluraves (clade), Coraciimorphae (clade), Piciformes (order), Picidae (family), Dryobates (genus)	Craniata	Aves	Piciformes	Picidae	Dryobates	euk	euk	
A0A6A7C4F0	A0A6A7C4F0_9PEZI	DNA 3'-5' helicase (EC 5.6.2.4)	K470DRAFT_256121	Piedraia hortae CBS 480.64	1314780	1346	unreviewed	3.0		cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), dothideomyceta (clade), Dothideomycetes (class), Dothideomycetidae (subclass), Capnodiales (order), Piedraiaceae (family), Piedraia (genus), Piedraia hortae (species)	Pezizomycotina	Dothideomycetes	Capnodiales	Piedraiaceae	Piedraia	euk	euk	
A0A9P0XJW6	A0A9P0XJW6_PIEBR	DNA 3'-5' helicase (EC 5.6.2.4)	PIBRA_LOCUS13364	Pieris brassicae (White butterfly) (Large white butterfly)	7116	1232	unreviewed	3.0	A0A9P0XJW6;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Panarthropoda (clade), Arthropoda (phylum), Mandibulata (clade), Pancrustacea (clade), Hexapoda (subphylum), Insecta (class), Dicondylia (clade), Pterygota (subclass), Neoptera (infraclass), Endopterygota (cohort), Amphiesmenoptera (superorder), Lepidoptera (order), Glossata (suborder), Neolepidoptera (infraorder), Heteroneura (parvorder), Ditrysia (clade), Obtectomera (clade), Papilionoidea (superfamily), Pieridae (family), Pierinae (subfamily), Pierini (tribe), Pieris (genus)	Hexapoda	Insecta	Lepidoptera	Pieridae	Pieris	euk	euk	
O93530	WRN_XENLA	Bifunctional 3'-5' exonuclease/ATP-dependent helicase WRN (Focus-forming activity 1) (FFA-1) (Werner syndrome protein homolog) [Includes: 3'-5' exonuclease (EC 3.1.-.-); ATP-dependent helicase (EC 5.6.2.4) (DNA 3'-5' helicase WRN)]	wrn ffa1	Xenopus laevis (African clawed frog)	8355	1436	reviewed	5.0	O93530;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amphibia (class), Batrachia (superorder), Anura (order), Pipoidea (superfamily), Pipidae (family), Xenopodinae (subfamily), Xenopus (genus), Xenopus (subgenus)	Craniata	Amphibia	Anura	Pipidae	Xenopus	euk	euk	
A0A7L0IM39	A0A7L0IM39_PIPCL	ATP-dependent DNA helicase Q5 (EC 5.6.2.4) (DNA 3'-5' helicase RecQ5) (DNA helicase, RecQ-like type 5) (RecQ protein-like 5)	Recql5 PIPCHL_R13679	Piprites chloris (Wing-barred manakin)	114369	1008	unreviewed	4.0	A0A7L0IM39;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Archelosauria (clade), Archosauria (clade), Dinosauria (clade), Saurischia (clade), Theropoda (clade), Coelurosauria (clade), Aves (class), Neognathae (infraclass), Neoaves (clade), Telluraves (clade), Australaves (clade), Passeriformes (order), Pipridae (family), Piprites (genus)	Craniata	Aves	Passeriformes	Pipridae	Piprites	euk	euk	
A0A0C3PC41	A0A0C3PC41_PISTI	ATP-dependent DNA helicase (EC 5.6.2.4)	M404DRAFT_999864	Pisolithus tinctorius Marx 270	870435	792	unreviewed	3.0	A0A0C3PC41;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetidae (subclass), Boletales (order), Sclerodermatineae (suborder), Pisolithaceae (family), Pisolithus (genus), Pisolithus tinctorius (species)	Agaricomycotina	Agaricomycetes	Boletales	Pisolithaceae	Pisolithus	euk	euk	
A0A851G018	A0A851G018_PITSO	ATP-dependent DNA helicase (EC 5.6.2.4)	Recql5 PITSOR_R11850	Pitta sordida (Hooded pitta)	9163	998	unreviewed	4.0	A0A851G018;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Archelosauria (clade), Archosauria (clade), Dinosauria (clade), Saurischia (clade), Theropoda (clade), Coelurosauria (clade), Aves (class), Neognathae (infraclass), Neoaves (clade), Telluraves (clade), Australaves (clade), Passeriformes (order), Pittidae (family), Pitta (genus)	Craniata	Aves	Passeriformes	Pittidae	Pitta	euk	euk	
A0AAV4F7D2	A0AAV4F7D2_9GAST	ATP-dependent DNA helicase Q5 (EC 5.6.2.4) (DNA 3'-5' helicase RecQ5) (DNA helicase, RecQ-like type 5) (RecQ protein-like 5)	ElyMa_003727200	Elysia marginata	1093978	1151	unreviewed	4.0	A0AAV4F7D2;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Spiralia (clade), Lophotrochozoa (clade), Mollusca (phylum), Gastropoda (class), Heterobranchia (subclass), Euthyneura (clade), Panpulmonata (clade), Sacoglossa (clade), Placobranchoidea (superfamily), Plakobranchidae (family), Elysia (genus)		Gastropoda		Plakobranchidae	Elysia	euk	euk	
A0AAD8FEZ1	A0AAD8FEZ1_BIOPF	ATP-dependent DNA helicase Q5 (EC 5.6.2.4) (DNA 3'-5' helicase RecQ5) (DNA helicase, RecQ-like type 5) (RecQ protein-like 5)	Bpfe_009897	Biomphalaria pfeifferi (Bloodfluke planorb) (Freshwater snail)	112525	1080	unreviewed	4.0	A0AAD8FEZ1;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Spiralia (clade), Lophotrochozoa (clade), Mollusca (phylum), Gastropoda (class), Heterobranchia (subclass), Euthyneura (clade), Panpulmonata (clade), Hygrophila (clade), Lymnaeoidea (superfamily), Planorbidae (family), Biomphalaria (genus)		Gastropoda		Planorbidae	Biomphalaria	euk	euk	
A0ABD3RP80	A0ABD3RP80_9LAMI	DNA 3'-5' helicase (EC 5.6.2.4)	ACJIZ3_015767	Penstemon smallii	265156	1167	unreviewed	3.0	A0ABD3RP80;	cellular organisms (no rank), Eukaryota (domain), Viridiplantae (kingdom), Streptophyta (phylum), Streptophytina (subphylum), Embryophyta (clade), Tracheophyta (clade), Euphyllophyta (clade), Spermatophyta (clade), Magnoliopsida (class), Mesangiospermae (clade), eudicotyledons (clade), Gunneridae (clade), Pentapetalae (clade), asterids (clade), lamiids (clade), Lamiales (order), Plantaginaceae (family), Cheloneae (tribe), Penstemon (genus)	Streptophytina	Magnoliopsida	Lamiales	Plantaginaceae	Penstemon	euk	euk	
Q8ILG5	Q8ILG5_PLAF7	DNA 3'-5' helicase (EC 5.6.2.4)	PF3D7_1429900	Plasmodium falciparum (isolate 3D7)	36329	1440	unreviewed	3.0	Q8ILG5;	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Alveolata (clade), Apicomplexa (phylum), Aconoidasida (class), Haemosporida (order), Plasmodiidae (family), Plasmodium (genus), Plasmodium (Laverania) (subgenus), Plasmodium falciparum (species)		Aconoidasida	Haemosporida	Plasmodiidae	Plasmodium	euk	euk	
A0A0G4IV69	A0A0G4IV69_PLABS	DNA 3'-5' helicase (EC 5.6.2.4)	PBRA_001076	Plasmodiophora brassicae (Clubroot disease agent)	37360	1034	unreviewed	3.0	A0A0G4IV69;	cellular organisms (no rank), Eukaryota (domain), Sar (clade), Rhizaria (clade), Endomyxa (phylum), Phytomyxea (class), Plasmodiophorida (order), Plasmodiophoridae (family), Plasmodiophora (genus)		Phytomyxea	Plasmodiophorida	Plasmodiophoridae	Plasmodiophora	euk	euk	
A0A4D9E2Z7	A0A4D9E2Z7_9SAUR	ATP-dependent DNA helicase Q5 (EC 5.6.2.4) (DNA 3'-5' helicase RecQ5) (DNA helicase, RecQ-like type 5) (RecQ protein-like 5)	DR999_PMT12847	Platysternon megacephalum (big-headed turtle)	55544	1045	unreviewed	4.0	A0A4D9E2Z7;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Deuterostomia (clade), Chordata (phylum), Craniata (subphylum), Vertebrata (clade), Gnathostomata (clade), Teleostomi (clade), Euteleostomi (clade), Sarcopterygii (superclass), Dipnotetrapodomorpha (clade), Tetrapoda (clade), Amniota (clade), Sauropsida (clade), Sauria (clade), Archelosauria (clade), Testudinata (subclass), Testudines (order), Cryptodira (suborder), Durocryptodira (clade), Testudinoidea (superfamily), Platysternidae (family), Platysternon (genus)	Craniata		Testudines	Platysternidae	Platysternon	euk	euk	
A0A914W2P8	A0A914W2P8_9BILA	ATP-dependent DNA helicase (EC 5.6.2.4)		Plectus sambesii	2011161	911	unreviewed	3.0	A0A914W2P8;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Metazoa (kingdom), Eumetazoa (clade), Bilateria (clade), Protostomia (clade), Ecdysozoa (clade), Nematoda (phylum), Chromadorea (class), Plectida (order), Plectina (suborder), Plectoidea (superfamily), Plectidae (family), Plectus (genus)		Chromadorea	Plectida	Plectidae	Plectus	euk	euk	
A0A0G4KDX1	A0A0G4KDX1_VERLO	Glutathione reductase (EC 1.8.1.7) (EC 5.6.2.4)	BN1708_000279	Verticillium longisporum (Verticillium dahliae var. longisporum)	100787	680	unreviewed	3.0	A0A0G4KDX1;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), sordariomyceta (clade), Sordariomycetes (class), Hypocreomycetidae (subclass), Glomerellales (order), Plectosphaerellaceae (family), Verticillium (genus)	Pezizomycotina	Sordariomycetes	Glomerellales	Plectosphaerellaceae	Verticillium	euk	euk	
L2GS59	L2GS59_VAVCF	ATP-dependent DNA helicase (EC 5.6.2.4)	VCUG_02378	Vavraia culicis subsp. floridensis (Microsporidian parasite) (Vavraia culicis (isolate floridensis))	948595	955	unreviewed	3.0	L2GS59;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Fungi incertae sedis (no rank), Microsporidia (phylum), Pansporoblastina (suborder), Pleistophoridae (family), Vavraia (genus), Vavraia culicis (species)				Pleistophoridae	Vavraia	euk	euk	
A0A6G1K3N5	A0A6G1K3N5_9PLEO	DNA 3'-5' helicase (EC 5.6.2.4)	K504DRAFT_436864	Pleomassaria siparia CBS 279.74	1314801	1765	unreviewed	3.0		cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), dothideomyceta (clade), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Pleomassariaceae (family), Pleomassaria (genus), Pleomassaria siparia (species)	Pezizomycotina	Dothideomycetes	Pleosporales	Pleomassariaceae	Pleomassaria	euk	euk	
A0A6A5K708	A0A6A5K708_9PLEO	ATP-dependent DNA helicase (EC 5.6.2.4)	BDW02DRAFT_559451	Decorospora gaudefroyi	184978	732	unreviewed	3.0	A0A6A5K708;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), dothideomyceta (clade), Dothideomycetes (class), Pleosporomycetidae (subclass), Pleosporales (order), Pleosporineae (suborder), Pleosporaceae (family), Decorospora (genus)	Pezizomycotina	Dothideomycetes	Pleosporales	Pleosporaceae	Decorospora	euk	euk	
A0A370TMI0	A0A370TMI0_9HELO	DNA 3'-5' helicase (EC 5.6.2.4)	BP5553_06076	Venustampulla echinocandica	2656787	1798	unreviewed	3.0		cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), sordariomyceta (clade), Leotiomycetes (class), Helotiales (order), Pleuroascaceae (family), Venustampulla (genus)	Pezizomycotina	Leotiomycetes	Helotiales	Pleuroascaceae	Venustampulla	euk	euk	
A0AA38VQQ6	A0AA38VQQ6_9PEZI	DNA 3'-5' helicase (EC 5.6.2.4)	NKR23_g625	Pleurostoma richardsiae	41990	1412	unreviewed	3.0		cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Ascomycota (phylum), saccharomyceta (clade), Pezizomycotina (subphylum), leotiomyceta (clade), sordariomyceta (clade), Sordariomycetes (class), Sordariomycetidae (subclass), Calosphaeriales (order), Pleurostomataceae (family), Pleurostoma (genus)	Pezizomycotina	Sordariomycetes	Calosphaeriales	Pleurostomataceae	Pleurostoma	euk	euk	
A0A9P5ZLQ8	A0A9P5ZLQ8_PLEER	ATP-dependent DNA helicase (EC 5.6.2.4)	BDN71DRAFT_1403743	Pleurotus eryngii (Boletus of the steppes)	5323	843	unreviewed	3.0	A0A9P5ZLQ8;	cellular organisms (no rank), Eukaryota (domain), Opisthokonta (clade), Fungi (kingdom), Dikarya (subkingdom), Basidiomycota (phylum), Agaricomycotina (subphylum), Agaricomycetes (class), Agaricomycetidae (subclass), Agaricales (order), Pleurotineae (suborder), Pleurotaceae (family), Pleurotus (genus)	Agaricomycotina	Agaricomycetes	Agaricales	Pleurotaceae	Pleurotus	euk	euk	
